Key,zh-CN,en-US,ja-JP,pt-BR,id-ID,,,,
3031,提现中,Withdrawal in progress,,Retirada em andamento,Proses penarikan dana sedang berlangsung.,,,,
3032,成功,success,,sucesso,kesuksesan,,,,
3033,提现失败,Withdrawal failed,,A tentativa de retirada falhou,Penarikan dana gagal,,,,
3034,您的paypal错误，请输出正确的账号，重新补发,Your PayPal account is incorrect. Please enter the correct account number and resend the email.,,"Sua conta PayPal está incorreta. Por favor, insira o número da conta correto e reenvie o e-mail.",Akun PayPal Anda salah. Mohon masukkan nomor akun yang benar dan kirim ulang emailnya.,,,,
3035,输入,enter,,digitar,memasuki,,,,
3036,跳过,jump over,,pular sobre,melompati,,,,
3037,您的账号,Your account,,Sua conta,Akun Anda,,,,
3038,重新输入,Re-enter,,Reentrar,Masuk kembali,,,,
3039,确定,Sure,,Claro,Tentu,,,,
3040,{0}可提取,{0} is extractable,,{0} é extraível,{0} dapat diekstraksi,,,,
3041,还需{0}%即可提取,You only need {0}% to extract.,,Você só precisa de {0}% para extrair.,Anda hanya membutuhkan {0}% untuk mengekstrak.,,,,
3042,观看广告，完成活跃认证,Watch ads and complete active verification,,Assista aos anúncios e conclua a verificação ativa.,Tonton iklan dan selesaikan verifikasi aktif.,,,,
3043,认证成功{0}次：提取金额+0.1,Successful authentication {0} times: Withdrawal amount +0.1,,"Autenticação bem-sucedida {0} vezes: Valor do saque +0,1","Autentikasi berhasil sebanyak {0} kali: Jumlah penarikan +0,1",,,,
3044,观看{0}次后，即刻到账,Watch {0} more times for immediate arrival.,あと{0}回視聴するとすぐに着金します。,Assista mais {0} vezes para recebimento imediato.,Tonton {0} kali lagi untuk dana langsung masuk.,,,,
3045,认证成功3次：立刻提取到账,3 successful authentications: Funds will be withdrawn immediately.,,3 autenticações bem-sucedidas: os fundos serão debitados imediatamente.,3 otentikasi berhasil: Dana akan ditarik segera.,,,,
3046,已经发起转账，请稍后查看订单,The transfer has been initiated. Please check your order later.,,"A transferência foi iniciada. Por favor, verifique seu pedido mais tarde.",Transfer telah dimulai. Silakan periksa pesanan Anda nanti.,,,,
3047,取现将把余额内全部金额提到您的paypay,Withdrawing cash will transfer the entire amount in your balance to your PayPay account.,,"Ao levantar dinheiro, o valor total do seu saldo será transferido para a sua conta PayPay.",Penarikan tunai akan mentransfer seluruh jumlah saldo Anda ke akun PayPay Anda.,,,,
3048,通关幸运关卡增加幸运钱包余额,Clearing lucky levels increases your lucky wallet balance.,,Concluir níveis da sorte aumenta o saldo da sua carteira da sorte.,Menyelesaikan level keberuntungan akan meningkatkan saldo dompet keberuntungan Anda.,,,,
3049,幸运转盘抽象可增加幸运钱包余额,The abstract concept of the Lucky Wheel can increase your Lucky Wallet balance.,,O conceito abstrato da Roda da Sorte pode aumentar o saldo da sua Carteira da Sorte.,Konsep abstrak Roda Keberuntungan dapat meningkatkan saldo Dompet Keberuntungan Anda.,,,,
3050,幸运关卡,Lucky Level,,Nível da Sorte,Level Keberuntungan,,,,
3051,幸运转盘,Lucky Wheel,,Roda da Sorte,Roda Keberuntungan,,,,
3052,"恭喜触发幸运抽奖，
抽取大奖可膨胀奖金",Congratulations on triggering the lucky draw! Win big and expand your winnings!,,Parabéns por ter sido selecionado(a) no sorteio! Ganhe prêmios incríveis e aumente seus ganhos!,Selamat atas keberhasilan Anda memenangkan undian berhadiah! Raih kemenangan besar dan tingkatkan kemenangan Anda!,,,,
3053,恭喜获得,Congratulations on winning!,,Parabéns pela vitória!,Selamat atas kemenangan Anda!,,,,
3054,抽中1%概率大奖！ ,Win a grand prize with a 1% chance!,,Ganhe um grande prêmio com 1% de chance!,Raih hadiah utama dengan peluang 1%!,,,,
3055,"因奖金膨胀，达到3000可
直接提现

有55%的用户成功提现","Due to bonus inflation, once it reaches 3000,
you can cash out directly.

55% of users have successfully withdrawn.","ボーナスの膨張により、
3000に達すると直接出金できます

55%のユーザーが出金に成功しています","Devido à inflação do bônus, ao atingir 3000,
você pode sacar diretamente.

55% dos usuários já conseguiram sacar.","Karena inflasi bonus, setelah mencapai 3000,
Anda dapat langsung menarik dana.

55% pengguna telah berhasil menarik dana.",,,,
3056,赚取更多,Earn more,さらに稼ぐ,Ganhe mais,Hasilkan lebih banyak,,,,
3057,达到200刀,Reach $200,$200に到達,Atinja $200,Capai $200,,,,
3058,即可提现,to cash out,で出金可能,para sacar,untuk menarik dana,,,,
3059,恭喜通过认证,Congratulations on passing the verification!,認証に成功しました！,Parabéns por ter passado na verificação!,Selamat atas keberhasilan verifikasinya!,,,,
3060,获得奖金抽奖次数+1,Get +1 bonus draw chance,ボーナス抽選回数+1,Receba +1 chance de sorteio bônus,Dapatkan +1 kesempatan undian bonus,,,,
3061,抽奖机会+1,+1 chance to win a prize,賞品獲得チャンス+1,+1 chance de ganhar um prêmio,+1 kesempatan untuk memenangkan hadiah,,,,
3062,开始游戏,Start Game,ゲームを始める,Começar o jogo,Mulai permainan,,,,
3063,账户可提取收益,Withdrawable earnings,出金可能な収益,Ganhos disponíveis para saque,Pendapatan yang dapat ditarik,,,,
3064,目标达成{0},Goal achieved {0},目標達成{0},Meta alcançada {0},Target tercapai {0},,,,
3065,记录,History,履歴,Histórico,Riwayat,,,,
3066,提现,Cash Out,出金,Sacar,Tarik,,,,
3067,通过{0}关后领取,Claim after passing level {0},ステージ{0}をクリア後に受け取る,Receba após concluir a fase {0},Klaim setelah melewati level {0},,,,
3068,有55%用户可直接提现,55% of users can cash out directly,ユーザーの55%は直接出金できます,55% dos usuários podem sacar diretamente,55% pengguna dapat langsung menarik dana,,,,
3069,开始膨胀,Start Inflating,膨張開始,Começar a inflar,Mulai mengembang,,,,
3070,还差{0}次广告，即可弹出幸运转盘,Watch {0} more ads to unlock the Lucky Wheel,あと{0}回広告を見るとラッキールーレットが表示されます,Assista a mais {0} anúncios para desbloquear a Roda da Sorte,Tonton {0} iklan lagi untuk membuka Roda Keberuntungan,,,,
3071,抽奖,Draw,抽選,Sorteio,Undian,,,,
3072,PayPal已经发起转账，请注意查看账户,PayPal has initiated the transfer. Please check your account.,PayPalの送金が開始されました。アカウントをご確認ください。,A transferência do PayPal foi iniciada. Verifique sua conta.,Transfer PayPal telah dimulai. Silakan periksa akun Anda.,,,,
3073,通过23级，增加余额,Pass level 23 to increase your balance.,レベル23をクリアすると残高が増えます。,Passe da fase 23 para aumentar seu saldo.,Lewati level 23 untuk menambah saldo Anda.,,,,
3074,提现会扣除$0.2作为手续费,A $0.2 handling fee will be charged for cash out.,出金時に$0.2の手数料がかかります。,Será cobrada uma taxa de $0.2 no saque.,Penarikan akan dikenakan biaya layanan sebesar $0.2.,,,,
3075,提现金额大于$2可免手续费,Cash outs over $2 are fee-free.,$2を超える出金は手数料無料です。,Saques acima de $2 não têm taxa.,Penarikan di atas $2 bebas biaya.,,,,
3076,提现将把余额内全部金额提到您的PayPal,Cashing out will transfer the entire balance to your PayPal account.,出金すると、残高の全額がPayPalアカウントに送金されます。,Ao sacar, todo o saldo será transferido para sua conta PayPal.,Saat menarik dana, seluruh saldo akan ditransfer ke akun PayPal Anda.,,
3077,特殊关卡,Special Level,スペシャルレベル,Fase Especial,Level Spesial,,,,
3078,幸运转盘,Lucky Wheel,ラッキールーレット,Roda da Sorte,Roda Keberuntungan,,,,
3079,以上玩法可获得余额,The above gameplay can earn balance.,上記のプレイで残高を獲得できます。,As opções acima podem gerar saldo.,Gameplay di atas dapat menghasilkan saldo.,,,,
3080,抽中13%概率大奖！,Won the 13% chance grand prize!,13%の確率で大当たり獲得！,Ganhou o grande prêmio de 13% de chance!,Memenangkan hadiah utama dengan peluang 13%!,,,,
3081,通关幸运关卡可增加钱包余额,Clearing Lucky Levels increases wallet balance.,ラッキーステージをクリアするとウォレット残高が増加します。,Concluir fases da sorte aumenta o saldo da carteira.,Menyelesaikan level keberuntungan akan menambah saldo dompet.,,,,
3082,放弃奖励,Give up reward,報酬を放棄する,Desistir da recompensa,Lepaskan hadiah,,,,
3083,检测到网络问题，请稍候,Network issue detected. Please wait a moment,ネットワークの問題が検出されました。しばらくお待ちください,Problema de rede detectado. Aguarde um momento,Masalah jaringan terdeteksi. Harap tunggu sebentar,,,,
3084,观看广告完成活跃认证，观看{0}次后直接打款,Watch ads to complete active verification. Watch {0} times for direct payout.,広告を視聴してアクティブ認証を完了し、{0}回視聴後に直接送金されます。,Assista aos anúncios para concluir a verificação ativa. Após assistir {0} vezes, o pagamento será feito diretamente.,Tonton iklan untuk menyelesaikan verifikasi aktif. Setelah menonton {0} kali, dana akan langsung ditransfer.,,
3085,认证成功{0}次：立刻转账,{0} successful authentications: Funds will be transferred immediately.,認証成功{0}回：すぐに送金されます。, {0} autenticações bem-sucedidas: os fundos serão transferidos imediatamente.,Autentikasi berhasil {0} kali: Dana akan langsung ditransfer.,,,,
3086,PayPal账号：{0},PayPal account: {0},PayPalアカウント：{0},Conta do PayPal: {0},Akun PayPal: {0},,,,
3087,认证成功{0}次：立刻到账,{0} successful authentications: Funds will arrive immediately.,認証成功{0}回：すぐに着金します。,{0} autenticações bem-sucedidas: os fundos chegarão imediatamente.,Autentikasi berhasil {0} kali: Dana akan langsung masuk.,,,,
3090,PayPal账号不存在,PayPal account not found,,Conta do PayPal não encontrada,Akun PayPal tidak ditemukan,,,,
3091,PayPal余额不足,Insufficient PayPal balance,,Saldo do PayPal insuficiente,Saldo PayPal tidak mencukupi,,,,
3092,未知状态,Unknown status,,Status desconhecido,Status tidak diketahui,,,,
3093,提现金额需大于0.1,Withdrawal amount must be greater than $0.10,,O valor do saque deve ser maior que $0.10,Jumlah penarikan harus lebih besar dari $0.10,,,,
3094,幸运,Lucky,ラッキー,Sorte,Keberuntungan,,,,
3095,您刚刚赢得了${0}！达到${1}即可触发提现抽奖！,You just won ${0}! Get to ${1} to trigger the cash-out prize draw!,たった今${0}を獲得しました！${1}に到達すると出金抽選が発動します！,Você acabou de ganhar ${0}! Chegue a ${1} para ativar o sorteio do prêmio de saque!,Anda baru saja memenangkan ${0}! Capai ${1} untuk memicu undian hadiah penarikan tunai!,,,,
3096,额外现金奖励,Extra Cash Rewards,追加現金報酬,Recompensa extra em dinheiro,Hadiah Uang Tunai Ekstra,,,,
